[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 16:48:34.348061] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 16:48:34.353278] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 16:48:34.396547] [tm_devices] [ WARNING] 
The device `TCPIP0::10.59.31.94::inst0::INSTR` had data sitting in the VISA Output Buffer on first connection. 
Detected data in the buffer via the Status Byte register. 
The device_clear() will be called so VISA I/O buffers get flushed.
[2025-12-01 16:48:38.359685] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-12-01 16:48:38.373140] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '160.00E-12'
[2025-12-01 16:48:38.374092] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-12-01 16:48:38.629346] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH2'
[2025-12-01 16:48:38.629346] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC SRIbinary'
[2025-12-01 16:48:38.629346] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 2'
[2025-12-01 16:48:38.629346] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STOPAfter SEQ'
[2025-12-01 16:48:38.629346] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STATE ON'
[2025-12-01 16:48:38.629346] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:38.656350] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:38.759192] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:38.759192] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:38.866166] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:38.866166] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:38.972379] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:38.972379] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:39.075125] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:39.075125] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:39.178050] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:39.179560] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:39.287843] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:39.287843] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:39.391043] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:39.392042] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
